target,size,n,model,calibration,roc_auc_mean,roc_auc_std,roc_auc_count,average_precision_mean,average_precision_std,average_precision_count,brier_mean,brier_std,brier_count,ece_mean,ece_std,ece_count,log_loss_mean,log_loss_std,log_loss_count
survival_status,200,200,xgboost,raw,0.6903928571428571,0.04614917458842297,10,0.36071420757604633,0.06804707330722018,10,0.14252198402361899,0.008814337452583488,10,0.058879898501182804,0.025455513665562826,10,0.4538002682380789,0.028308607205338426,10
survival_status,200,200,xgboost,calibrated,0.6785714285714286,0.037767751604040334,5,0.35790472088183545,0.021837340495319827,5,0.14027391804536418,0.0032021722773470907,5,0.038026633230008114,0.01883420852558596,5,0.44696747775328316,0.010497694733004713,5
survival_status,500,500,lightgbm,raw,0.7439642857142857,0.018577875864999458,10,0.39622040348625165,0.02508981135121853,10,0.13766949382079294,0.005235797406315889,10,0.07406044562615378,0.025646945755291705,10,0.4466787254802577,0.03196089117041387,10
survival_status,500,500,lightgbm,calibrated,0.7364285714285714,0.021298713671995147,5,0.3918367364963193,0.02331624680302297,5,0.13454479840782274,0.0012684316276060767,5,0.050268393294159955,0.005111596002517893,5,0.42796583575013775,0.0052446100392271175,5
survival_status,500,500,logistic,raw,0.7477142857142857,0.0075540381296027555,10,0.44892297655912117,0.01708816523071627,10,0.1309367093184402,0.002889416797511355,10,0.04618626555809596,0.016643046031744813,10,0.4203204964459405,0.007616177510096884,10
survival_status,500,500,logistic,calibrated,0.7497857142857143,0.007498299126863254,5,0.45243073566007946,0.007885898719584325,5,0.12914825363075372,0.0006211878108177073,5,0.0475865517751142,0.014544475124302556,5,0.41394656091900517,0.0028219855895798406,5
survival_status,500,500,rf,raw,0.810357142857143,0.012988471689363488,10,0.5780750355918423,0.028918346177879032,10,0.12373474823442923,0.0016848036191684694,10,0.07534793881730943,0.015157709064128411,10,0.3999256864866172,0.004100025128561898,10
survival_status,500,500,rf,calibrated,0.8110357142857143,0.008506450133725049,5,0.5809558344001797,0.017118107069589463,5,0.12044170942519931,0.0025487036034011856,5,0.0699727700682878,0.0128297070789556,5,0.3916075544708728,0.007107986137037443,5
survival_status,500,500,rf_smote,raw,0.7732321428571429,0.014845779861806352,10,0.43951700619784306,0.035046012026105154,10,0.14000698186366795,0.0033975433032084673,10,0.11538439010811788,0.015040302910681324,10,0.44638269080320453,0.009393389748956042,10
survival_status,500,500,rf_smote,calibrated,0.7810357142857143,0.012260720007488957,5,0.4511766066261206,0.03255355237940638,5,0.12939363584394767,0.002075159489433224,5,0.058206764402417156,0.015831534959463503,5,0.41112630155314883,0.007312709809506505,5
survival_status,500,500,tabpfn,raw,0.823857142857143,0.0061647818410218245,10,0.5505485172333968,0.02941076630460084,10,0.11806330033630814,0.0012843142987844927,10,0.06311470817937685,0.010374530539041875,10,0.3809924007040625,0.0030071573734136575,10
survival_status,500,500,tabpfn,calibrated,0.823857142857143,0.0074974485455972465,5,0.5566156770063231,0.02437722601833519,5,0.11921560478373583,0.0026752008252260693,5,0.06889508102967978,0.007824955639557743,5,0.38556944899348883,0.00891478128659355,5
survival_status,500,500,xgboost,raw,0.7835,0.02831371870077589,10,0.499253093263235,0.032914724687007825,10,0.12459544559166735,0.003697899318817022,10,0.05111243897899441,0.018118856791895767,10,0.39884209198013104,0.011387096514166617,10
survival_status,500,500,xgboost,calibrated,0.7877857142857143,0.03696161135943229,5,0.5023374910102308,0.037162207533218035,5,0.127363121373752,0.005736436174326604,5,0.06825029649397317,0.022634155662416174,5,0.40988294977568807,0.017038582028842963,5
survival_status,50,50,lightgbm,raw,0.6384821428571429,0.07122243320398844,10,0.3210286736093956,0.10470731952006897,10,0.1590206394833004,0.023926714950681188,10,0.11861350631671386,0.04991006948703688,10,0.5440867019360215,0.11019297089116299,10
survival_status,50,50,lightgbm,calibrated,0.6151785714285715,0.04085814184592878,5,0.2690329057513644,0.05245398364139042,5,0.15008913000310614,0.006894446161536736,5,0.04950490447913499,0.03976815359065828,5,0.4754371714709994,0.018538954416727142,5
survival_status,50,50,logistic,raw,0.6416071428571428,0.0665560838810946,10,0.3225486579287814,0.06190191382372888,10,0.15650307135071828,0.027200312313088882,10,0.08876023056234536,0.06000441799919046,10,0.5792009738863055,0.2903861007897944,10
survival_status,50,50,logistic,calibrated,0.6502142857142857,0.05569230335568125,5,0.31236615373453497,0.042980777618268094,5,0.14696533776140258,0.005226496508482749,5,0.04724667311157254,0.02951041946857484,5,0.4674763510971342,0.01811748700161158,5
survival_status,50,50,rf,raw,0.7150535714285715,0.03577386399647225,10,0.40138449357912603,0.06872084576901866,10,0.1358773368327341,0.005959168929980647,10,0.06065554418183795,0.015160778534988205,10,0.43438328892855427,0.01599655237127059,10
survival_status,50,50,rf,calibrated,0.7069642857142857,0.02513452327385746,5,0.3855539804786853,0.052888788769375444,5,0.13807356519933664,0.00515533309631677,5,0.06563850299130988,0.030444829631218633,5,0.44270730632030136,0.015356524449211876,5
survival_status,50,50,rf_smote,raw,0.66525,0.07149150005769123,10,0.3264968176071731,0.09520140791571927,10,0.1525854362257527,0.013154710401548513,10,0.10194212639294462,0.015766956648962712,10,0.4772403442404687,0.03164225789440079,10
survival_status,50,50,rf_smote,calibrated,0.6589285714285714,0.035976714407958875,5,0.3019591794197832,0.04394680458953924,5,0.14431969035281916,0.003005490000765791,5,0.03728632360806329,0.006306805997172252,5,0.45417993058034944,0.008954563741130689,5
survival_status,50,50,tabpfn,raw,0.6921071428571428,0.07629595563203191,10,0.37388598712758964,0.10992208034789541,10,0.1391416990326735,0.00980730595357646,10,0.05390959582189574,0.02580680561123867,10,0.4421873323292812,0.02834586047591716,10
survival_status,50,50,tabpfn,calibrated,0.6818571428571428,0.05049398832675881,5,0.3511868174610548,0.08047823629422195,5,0.1444242761222682,0.006153768251022459,5,0.06424840667344578,0.02882073442664947,5,0.4559010873783883,0.012090923662887543,5
survival_status,50,50,xgboost,raw,0.6541785714285714,0.08299865617850473,10,0.3178167303105728,0.08640558978263345,10,0.15829935100700432,0.017705614719286514,10,0.10914658117142037,0.03888679116409491,10,0.5222059784284894,0.06515662087688996,10
survival_status,50,50,xgboost,calibrated,0.6512142857142857,0.0444758304002963,5,0.29284215532915947,0.027460865769220705,5,0.14960449797362269,0.008969286462427933,5,0.059580087394213964,0.03875686889495557,5,0.4708603663397176,0.0198763038119487,5
survival_status,Full,537,lightgbm,raw,0.7708928571428572,0.008182737900390365,10,0.45078679152173173,0.02373465516746889,10,0.13080265613982298,0.0041355154512166675,10,0.05859854625462828,0.027137842331575863,10,0.42097103178134765,0.018081331614631657,10
