target,size,n,seed,model,calibration,roc_auc,average_precision,brier,ece,log_loss,elapsed_seconds,selected
recurrence,50,50,50,logistic,raw,0.6171617161716172,0.4334982344979561,0.17841379215693984,0.06935497500497073,0.5644484569070951,0.027431875001639128,1
recurrence,50,50,50,rf,raw,0.6213621362136214,0.39842041721644045,0.1782070197398,0.0300132517085935,0.5423833892274945,1.1257392498664558,3
recurrence,50,50,50,rf_smote,raw,0.6162616261626163,0.3656548873223813,0.18407039800995023,0.08340796019900495,0.5568880682360832,1.194509374909103,0
recurrence,50,50,50,tabpfn,raw,0.645964596459646,0.4154961742216467,0.17786827427275823,0.08145624987169434,0.5481964773416704,3.2800972498953342,0
recurrence,50,50,50,xgboost,raw,0.6225622562256227,0.36222616140438985,0.19312062508257286,0.12892050225176474,0.6239992972016457,0.09439050033688545,0
recurrence,50,50,51,lightgbm,raw,0.4776477647764777,0.23650006639725724,0.208662598876684,0.1528738922889896,0.6386624270800082,0.08102199994027615,2
recurrence,50,50,51,logistic,raw,0.49144914491449143,0.2559625572502431,0.18775360640261088,0.034173104420742506,0.5646314791197481,0.027697375044226646,0
recurrence,50,50,51,rf,raw,0.5025502550255025,0.2444632108388933,0.1925540068433855,0.07240672824639029,0.5787219389230103,1.1845291671343148,2
recurrence,50,50,51,rf_smote,raw,0.4443444344434444,0.22801135488831437,0.21590855200417366,0.13023128417569813,0.6254513602736772,1.2596145831048489,2
recurrence,50,50,51,tabpfn,raw,0.6123612361236124,0.41709783176824794,0.18114193987084024,0.01314289567630683,0.5467875656373223,3.274980583228171,0
recurrence,50,50,51,xgboost,raw,0.5486048604860486,0.28092549339776013,0.1932397191522506,0.08006381221226792,0.5832078077865434,0.09218320809304714,2
recurrence,Full,533,42,lightgbm,raw,0.7248724872487249,0.6304057393556786,0.142303496703351,0.08105304501251186,0.47258710682721844,0.44616262521594763,3
recurrence,Full,533,42,lightgbm,calibrated,0.7248724872487249,0.6304057393556786,0.14451850535921051,0.07284626664979606,0.46729000961437395,0.44616262521594763,3
recurrence,Full,533,42,logistic,raw,0.7950795079507951,0.6755657025793171,0.13214256431970592,0.06185878790839028,0.42736270035149576,0.04611524986103177,2
recurrence,Full,533,42,logistic,calibrated,0.7950795079507951,0.6755657025793171,0.13769245558242296,0.07176690555213316,0.4393741716765802,0.04611524986103177,2
recurrence,Full,533,42,rf,raw,0.7704770477047704,0.7203916638853056,0.1471026641465865,0.15801138333202144,0.46835145214228213,2.4863551249727607,3
recurrence,Full,533,42,rf,calibrated,0.7704770477047704,0.7203916638853056,0.13752742148644492,0.11846463894317916,0.45152943980533455,2.4863551249727607,3
recurrence,Full,533,42,rf_smote,raw,0.7797779777977799,0.6700815919803018,0.15131435441542135,0.15260339972264306,0.4816853516867995,3.506385709159076,1
recurrence,Full,533,42,rf_smote,calibrated,0.7797779777977799,0.6700815919803018,0.14032244135976704,0.11907465687289057,0.45389341022585294,3.506385709159076,1
recurrence,Full,533,42,tabpfn,raw,0.7866786678667869,0.70598776651866,0.12474631329649542,0.06441338237986634,0.4091388493588398,14.086788875050843,0
recurrence,Full,533,42,tabpfn,calibrated,0.7866786678667869,0.70598776651866,0.12530121203787722,0.06402811862431732,0.4112009411802287,14.086788875050843,0
recurrence,Full,533,42,xgboost,raw,0.7131713171317132,0.6239402183951035,0.14360200668251735,0.06188382163866243,0.4692034600941539,0.4460237082093954,3
recurrence,Full,533,42,xgboost,calibrated,0.7131713171317132,0.6239402183951035,0.14522102812442858,0.0700101475645994,0.4685111967944643,0.4460237082093954,3
recurrence,Full,533,43,lightgbm,raw,0.7203720372037203,0.6220362225262867,0.14365720635753318,0.09054857080984582,0.47459458474157323,0.5071450830437243,3
recurrence,Full,533,43,lightgbm,calibrated,0.7203720372037203,0.6220362225262867,0.14425932975991904,0.059148915661852215,0.46757790587649806,0.5071450830437243,3
recurrence,Full,533,43,logistic,raw,0.7950795079507951,0.6755657025793171,0.13214256431970994,0.061858787908391936,0.42736270035150625,0.05709708295762539,2
recurrence,Full,533,43,logistic,calibrated,0.7950795079507951,0.6755657025793171,0.13449620433087853,0.062341819705910025,0.4308731574090207,0.05709708295762539,2
recurrence,Full,533,43,rf,raw,0.7836783678367838,0.7214840961014866,0.13640182421227198,0.11179104477611941,0.45270332710571215,2.601915083359927,0
recurrence,Full,533,43,rf,calibrated,0.7836783678367838,0.7214840961014866,0.13047626588074474,0.10233550608396043,0.4450042314249822,2.601915083359927,0
recurrence,Full,533,43,rf_smote,raw,0.7965796579657966,0.7075408314578191,0.14468766949654435,0.14408609219987834,0.4673910811355602,3.572522666770965,1
recurrence,Full,533,43,rf_smote,calibrated,0.7965796579657966,0.7075408314578191,0.13734343289631368,0.0690857602093583,0.4453741945043687,3.572522666770965,1
recurrence,Full,533,43,tabpfn,raw,0.7872787278727873,0.7075997623230051,0.12427677508058206,0.061071695120476964,0.407908080723797,13.662478792015463,0
recurrence,Full,533,43,tabpfn,calibrated,0.7872787278727873,0.7075997623230051,0.1244078131397529,0.0632240419960272,0.4079439177836323,13.662478792015463,0
recurrence,Full,533,43,xgboost,raw,0.7131713171317132,0.6239402183951035,0.14360200668251735,0.06188382163866243,0.4692034600941539,0.4533522496931255,3
recurrence,Full,533,43,xgboost,calibrated,0.7131713171317132,0.6239402183951035,0.14397129089975766,0.07397752110987184,0.4676709584688294,0.4533522496931255,3
recurrence,Full,533,44,lightgbm,raw,0.753975397539754,0.6806382806542974,0.13091195911527173,0.07590007717798616,0.436905437737698,0.42397762509062886,0
