target,size,model_a,model_b,metric,mean_difference,repetitions,std_difference
target_survival_5y,200,lightgbm,xgboost,roc_auc,-0.014082687338501288,5,0.03807096978968873
target_survival_5y,200,lightgbm,xgboost,average_precision,-0.014144706744530167,5,0.05968131080547727
target_survival_5y,200,lightgbm,xgboost,brier,-0.004880193821354573,5,0.026811290726877615
target_survival_5y,200,lightgbm,xgboost,ece,-0.02783051596979098,5,0.036999764375279166
target_survival_5y,50,lightgbm,xgboost,roc_auc,-0.021899224806201524,5,0.06425676206542169
target_survival_5y,50,lightgbm,xgboost,average_precision,-0.018822005990546044,5,0.05304784327645806
target_survival_5y,50,lightgbm,xgboost,brier,-0.04462696274191163,5,0.044228899066892285
target_survival_5y,50,lightgbm,xgboost,ece,-0.07990796398497546,5,0.044414897630537464
target_survival_5y,Full,lightgbm,xgboost,roc_auc,0.053617571059431435,5,0.0
target_survival_5y,Full,lightgbm,xgboost,average_precision,0.07018422178596517,5,0.0
target_survival_5y,Full,lightgbm,xgboost,brier,-0.05958296439954586,5,0.0
target_survival_5y,Full,lightgbm,xgboost,ece,-0.06715046250727902,5,0.0
